player_id,name,position,position_group,apps,minutes,overall,strengths,weaknesses,verdict,team_slug,subscores.Atac,subscores.Creativitate,subscores.Pasare,subscores.Apărare,subscores.Pressing,subscores.Dribling,subscores.Fizic,per90.goals,per90.assists,per90.xg,per90.xa,per90.key_passes,per90.prog_passes,per90.pressing_duels,per90.counterpress_rec,per90.opp_half_rec,per90.interceptions,per90.dribbles,per90.progressive_runs,per90.touches_box,pct.pass_accuracy,pct.dribble_success,pct.def_duels_won,pct.aerial_won,pct.long_pass_acc,pct.cross_acc,raw.goals,raw.assists,raw.shots,raw.shotsOnTarget,raw.xgShot,raw.xgAssist,raw.yellowCards,raw.redCards,raw.fouls,raw.foulsSuffered,raw.passes,raw.successfulPasses,raw.longPasses,raw.successfulLongPasses,raw.keyPasses,raw.progressivePasses,raw.successfulProgressivePasses,raw.crosses,raw.successfulCrosses,raw.dribbles,raw.successfulDribbles,raw.interceptions,raw.clearances,raw.defensiveDuels,raw.defensiveDuelsWon,raw.aerialDuels,raw.aerialDuelsWon,raw.pressingDuels,raw.pressingDuelsWon,raw.counterpressingRecoveries,raw.opponentHalfRecoveries,raw.gkSaves,raw.gkConcededGoals,raw.gkCleanSheets,raw.gkShotsAgainst
376565,A. Abeid,rb,DEF,22,1509,54.8,"['Pasare', 'Pressing']",['Atac'],Sub medie pentru poziție. Candidat înlocuire.,cfr_cluj,12.6,43.8,70.1,50.9,66.5,61.8,47.2,0.0,0.06,0.01,0.07,0.3,7.28,0.18,3.46,1.97,4.65,0.83,0.72,0.66,74.3,78.6,22.0,50.0,48.1,26.7,0,1,10,3,0.21000000000000002,1.2000000000000002,0,1,18,6,596,443,106,51,5,165,122,30,8,14,11,78,40,109,24,30,15,3,0,58,33,0,0,0,0
547271,A. Al Hamlawi,cf,ATT,29,1486,69.4,"['Pressing', 'Atac', 'Dribling']",['Apărare'],Jucător de bază. Performant pentru nivel.,universitatea_craiova,92.6,55.2,61.7,26.4,92.9,63.5,45.0,0.48,0.12,0.4,0.11,0.48,0.61,2.79,1.45,1.57,1.51,1.7,0.73,4.0,76.4,67.9,17.0,45.3,62.5,33.3,8,2,41,15,6.67,1.8399999999999999,2,0,18,13,280,214,8,5,8,16,10,6,2,28,19,25,12,47,8,75,34,46,0,24,26,0,0,0,0
302018,A. Albu,rcmf,MID,13,1139,56.1,"['Pressing', 'Pasare']","['Dribling', 'Creativitate']","Decent, îmbunătățibil în zone specifice.",unirea_slobozia,61.9,36.8,74.2,47.4,80.9,31.4,55.7,0.24,0.08,0.23,0.06,0.16,3.16,0.95,3.0,2.13,4.03,0.71,0.4,2.29,81.3,44.4,21.4,43.4,34.6,50.0,3,1,17,7,2.86,0.7000000000000001,2,0,8,8,343,279,26,9,2,61,40,8,4,9,4,51,23,42,9,76,33,12,0,38,27,0,0,0,0
361179,A. Aliev,cf,ATT,14,1154,54.3,"['Pressing', 'Atac', 'Creativitate']","['Apărare', 'Pasare', 'Fizic']",Sub medie pentru poziție. Candidat înlocuire.,cfr_cluj,73.9,62.5,22.2,21.3,83.5,44.4,22.4,0.31,0.23,0.31,0.13,0.39,0.62,2.11,1.33,1.09,1.17,0.31,0.23,2.65,61.9,75.0,19.4,43.4,20.0,0.0,4,3,18,10,4.01,1.7200000000000002,3,0,19,17,215,133,10,2,5,22,8,1,0,4,3,15,9,31,6,76,33,27,0,17,14,0,0,0,0
497525,A. Baroan,cf,ATT,14,603,50.9,"['Pressing', 'Atac', 'Dribling']","['Creativitate', 'Fizic', 'Apărare']",Sub medie pentru poziție. Candidat înlocuire.,rapid_bucuresti,69.2,15.2,38.1,28.5,97.1,66.6,21.1,0.3,0.0,0.2,0.01,0.15,0.6,2.39,1.94,1.79,1.34,1.19,0.9,3.73,71.7,75.0,14.3,42.6,25.0,0.0,2,0,11,4,1.31,0.09,1,0,7,18,113,81,4,1,1,7,4,3,0,8,6,9,10,28,4,61,26,16,0,13,12,0,0,0,0
83665,A. Benga,lcb,DEF,21,1129,54.7,['Pasare'],"['Creativitate', 'Atac']",Sub medie pentru poziție. Candidat înlocuire.,uta_arad,20.3,14.3,87.5,54.5,59.1,56.8,45.6,0.08,0.0,0.07,0.0,0.0,3.75,0.0,4.07,1.67,4.07,0.24,0.72,0.64,85.0,100.0,26.5,57.4,52.9,0.0,1,0,6,2,0.92,0.0,1,0,4,4,440,374,70,37,0,70,47,0,0,3,3,51,54,34,9,68,39,0,0,51,21,0,0,0,0
347148,A. Bettaieb,cf,ATT,34,2698,61.9,"['Dribling', 'Atac', 'Pressing']","['Apărare', 'Fizic']","Decent, îmbunătățibil în zone specifice.",arges,68.6,49.0,64.8,26.1,66.7,88.0,36.9,0.3,0.07,0.19,0.09,0.37,1.33,0.17,1.93,2.03,1.57,3.77,2.34,3.64,74.3,61.9,24.0,44.0,43.9,26.3,9,2,60,20,5.660000000000001,2.6199999999999997,4,0,33,48,599,445,41,18,11,59,40,38,10,113,70,47,16,104,25,125,55,5,0,58,61,0,0,0,0
696173,A. Borza,lb,DEF,24,2106,57.2,"['Dribling', 'Pasare', 'Pressing']",['Atac'],"Decent, îmbunătățibil în zone specifice.",rapid_bucuresti,34.5,56.9,68.2,46.2,65.3,76.7,53.2,0.09,0.13,0.08,0.09,0.38,4.87,0.09,3.38,2.74,4.27,1.62,1.84,1.62,76.1,65.8,17.3,52.6,38.2,28.6,2,3,24,7,1.8499999999999999,2.0399999999999996,1,0,15,13,870,662,102,39,9,166,114,77,22,38,25,100,38,191,33,38,20,2,0,79,64,0,0,0,0
682774,A. Boțogan,lcmf,MID,22,927,54.1,"['Pasare', 'Pressing', 'Dribling']","['Fizic', 'Atac', 'Creativitate']",Sub medie pentru poziție. Candidat înlocuire.,petrolul_52,22.3,31.4,91.5,40.5,79.5,73.5,12.6,0.0,0.1,0.11,0.02,0.1,2.14,0.87,3.88,2.82,3.69,1.65,1.36,1.07,84.1,64.7,20.9,31.0,73.3,23.1,0,1,12,2,1.12,0.23,3,0,26,13,308,259,15,11,1,33,22,13,3,17,11,38,7,91,19,29,9,9,0,40,29,0,0,0,0
84318,A. Buzbuchi,gk,GK,26,2570,60.4,"['Pasare', 'Fizic']","['Atac', 'Dribling', 'Pressing']","Decent, îmbunătățibil în zone specifice.",farul_constanta,0.0,14.3,100.0,49.0,11.2,0.0,66.7,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.46,0.0,1.37,0.0,0.0,0.0,85.7,0.0,33.3,81.8,60.3,0.0,0,0,0,0,0.0,0.0,0,0,0,3,588,504,199,120,0,161,99,0,0,0,0,39,21,6,2,11,9,0,0,13,0,86,32,5,118
683516,A. Camara,rcb,DEF,22,1959,50.2,['Pasare'],"['Atac', 'Creativitate', 'Fizic']",Sub medie pentru poziție. Candidat înlocuire.,metaloglobus,6.6,14.3,83.2,54.5,47.0,54.8,39.4,0.0,0.0,0.03,0.0,0.0,2.8,0.0,4.41,0.78,5.93,0.28,0.6,0.37,82.9,100.0,29.3,53.6,50.0,0.0,0,0,5,1,0.6,0.0,6,1,21,8,720,597,76,38,0,133,61,1,0,6,6,129,86,116,34,69,37,0,0,96,17,0,0,0,0
